Number,Model,Company,Price,Rating,No_of_ratings,TotalReviews,RamSize,RomSize,,15228.30579
242,"MOTOROLA e40 (Pink Clay, 64 GB)",MOTOROLA,7999,4.1,"56,085","5,600",4 GB,64 GB,,
243,"POCO C31 (Shadow Gray, 64 GB)",POCO,7499,4.3,"1,83,688","11,185",4 GB,64 GB,,
244,"MOTOROLA G32 (Mineral Gray, 64 GB)",MOTOROLA,9999,4.2,"16,249","1,639",4 GB,64 GB,,
245,"REDMI 9i Sport (Carbon Black, 64 GB)",REDMI,7199,4.3,"2,09,377","12,027",4 GB,64 GB,,
246,"REDMI 9i Sport (Coral Green, 64 GB)",REDMI,7199,4.3,"2,09,377","12,027",4 GB,64 GB,,
247,"POCO M4 Pro 5G (Cool Blue, 64 GB)",POCO,11999,4.3,"33,258","2,972",4 GB,64 GB,,
248,"realme 9 5G (Stargaze White, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
249,"realme 9 5G (Supersonic Blue, 64 GB)",realme,14999,4.5,"36,109","2,083",4 GB,64 GB,,
250,"realme 9 5G (Meteor Black, 64 GB)",realme,14999,4.5,"36,109","2,083",4 GB,64 GB,,
251,"MOTOROLA G62 5G (Midnight Gray, 128 GB)",MOTOROLA,14999,4.1,"8,567",933,6 GB,128 GB,,
252,"POCO M4 Pro 5G (Cool Blue, 128 GB)",POCO,13999,4.2,"41,124","3,691",6 GB,128 GB,,
253,"MOTOROLA g52 (Metallic White, 128 GB)",MOTOROLA,12999,4.2,"20,882","2,628",6 GB,128 GB,,
254,"realme 9 5G (Meteor Black, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
255,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",SAMSUNG,13999,4.2,"32,083","2,613",4 GB,128 GB,,
256,"realme 9 5G (Supersonic Blue, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
257,"realme 9 5G (Stargaze White, 64 GB)",realme,14999,4.5,"36,109","2,083",4 GB,64 GB,,
258,"MOTOROLA g52 (Charcoal Grey, 128 GB)",MOTOROLA,12999,4.2,"20,882","2,628",6 GB,128 GB,,
259,"APPLE iPhone 14 (Starlight, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
260,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",SAMSUNG,14999,4.3,"1,37,778","11,213",6 GB,128 GB,,
261,"APPLE iPhone 14 (Midnight, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
262,"vivo T1 5G (Starlight Black, 128 GB)",vivo,16990,4.4,"1,57,801","12,539",6 GB,128 GB,,
263,"MOTOROLA G32 (Satin Silver, 64 GB)",MOTOROLA,9999,4.2,"16,249","1,639",4 GB,64 GB,,
264,"MOTOROLA G62 5G (Frosted Blue, 128 GB)",MOTOROLA,14999,4.1,"8,567",933,6 GB,128 GB,,
265,"MOTOROLA g42 (Atlantic Green, 64 GB)",MOTOROLA,10999,4.1,"3,075",385,4 GB,64 GB,,
266,"APPLE iPhone 14 (Blue, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
267,"realme 9 5G (Supersonic Black, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
268,"APPLE iPhone 14 (Purple, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
269,"Infinix HOT 20 Play (Racing Black, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
270,"Infinix HOT 20 Play (Aurora Green, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
271,"Infinix HOT 20 Play (Fantasy Purple, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
272,"vivo T1 5G (Rainbow Fantasy, 128 GB)",vivo,16990,4.4,"1,57,801","12,539",6 GB,128 GB,,
273,"vivo T1 5G (Rainbow Fantasy, 128 GB)",vivo,15990,4.3,"59,607","4,787",4 GB,128 GB,,
274,"REDMI Note 11 SE (Cosmic White, 64 GB)",REDMI,16998,4.3,"30,409","1,886",6 GB,64 GB,,
275,"REDMI 10 (Midnight Black, 64 GB)",REDMI,9999,4.3,"1,65,144","10,864",4 GB,64 GB,,
