Number,Model,Company,Price,Rating,No_of_ratings,TotalReviews,RamSize,RomSize,,15228.30579
416,"Infinix Hot 12 (7° Purple, 64 GB)",Infinix,8899,4.2,"14,750","1,095",4 GB,64 GB,,
417,"Infinix Smart 6 HD (Force Black, 32 GB)",Infinix,5799,4.4,"15,648",823,2 GB,32 GB,,
418,"REDMI 10 (Caribbean Green, 64 GB)",REDMI,9999,4.3,"1,65,144","10,864",4 GB,64 GB,,
419,"realme 9i (Prism Blue, 128 GB)",realme,13599,4.5,"25,752","1,531",6 GB,128 GB,,
420,"realme 9i (Prism Black, 128 GB)",realme,12599,4.5,"1,16,293","6,868",4 GB,128 GB,,
421,"vivo T1 44W (Starry Sky, 128 GB)",vivo,14499,4.5,"74,897","5,493",4 GB,128 GB,,
422,"vivo T1 44W (Midnight Galaxy, 128 GB)",vivo,14499,4.5,"74,897","5,493",4 GB,128 GB,,
423,Nokia 105 SS,Nokia,1299,4.2,"24,816","1,801",32 MB,32 MB,,
424,Nokia 105 SS,Nokia,1299,4.2,"24,816","1,801",32 MB,32 MB,,
425,"MOTOROLA g42 (Metallic Rose, 64 GB)",MOTOROLA,10999,4.1,"3,075",385,4 GB,64 GB,,
426,"APPLE iPhone 13 (Pink, 128 GB)",APPLE,60999,4.7,"1,77,611","9,781",128 GB,Not Known,,
427,"MOTOROLA g72 (Polar Blue, 128 GB)",MOTOROLA,14999,4.1,"4,878",776,6 GB,128 GB,,
428,"POCO M4 Pro 5G (Yellow, 64 GB)",POCO,11999,4.3,"33,258","2,972",4 GB,64 GB,,
429,"MOTOROLA g82 5G (Meterorite Grey, 128 GB)",MOTOROLA,20499,4.1,"3,123",411,8 GB,128 GB,,
430,"vivo T1X (Space Blue, 128 GB)",vivo,14999,4.4,"3,415",211,6 GB,128 GB,,
431,"POCO M4 Pro (Power Black, 128 GB)",POCO,16499,4.3,"1,30,276","11,960",6 GB,128 GB,,
432,"Infinix Smart 6 Plus (Tranquil Sea Blue, 64 GB)",Infinix,7599,4.2,"9,919",738,3 GB,64 GB,,
433,"REDMI 10 (Caribbean Green, 64 GB)",REDMI,9999,4.3,"1,65,144","10,864",4 GB,64 GB,,
434,"vivo T1 44W (Midnight Galaxy, 128 GB)",vivo,15999,4.4,"43,289","3,353",6 GB,128 GB,,
435,"vivo T1 44W (Starry Sky, 128 GB)",vivo,15999,4.4,"43,289","3,353",6 GB,128 GB,,
436,"realme 10 Pro 5G (Dark Matter, 128 GB)",realme,18999,4.4,"3,410",339,6 GB,128 GB,,
437,"realme 10 Pro 5G (Nebula Blue, 128 GB)",realme,19999,4.4,"1,963",193,8 GB,128 GB,,
438,"Infinix Hot 12 (Polar Black, 64 GB)",Infinix,8899,4.2,"14,750","1,095",4 GB,64 GB,,
439,"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)",SAMSUNG,12999,4.4,"1,08,205","6,211",4 GB,128 GB,,
440,"realme 9 (Sunburst Gold, 128 GB)",realme,14599,4.4,"55,583","4,035",6 GB,128 GB,,
441,"realme 9 (Meteor Black, 128 GB)",realme,14599,4.4,"55,583","4,035",6 GB,128 GB,,
442,"realme 9 (Stargaze White, 128 GB)",realme,14599,4.4,"55,583","4,035",6 GB,128 GB,,
443,"MOTOROLA g82 5G (Meterorite Grey, 128 GB)",MOTOROLA,18999,4.2,"5,211",703,6 GB,128 GB,,
444,"POCO M4 Pro 5G (Power Black, 128 GB)",POCO,14999,4.2,"7,856",692,8 GB,128 GB,,
445,"APPLE iPhone 13 (Starlight, 128 GB)",APPLE,60999,4.7,"1,77,611","9,781",128 GB,Not Known,,
446,"vivo T1 5G (Silky White, 128 GB)",vivo,16990,4.4,"1,57,801","12,539",6 GB,128 GB,,
447,"vivo T1 5G (Starlight Black, 128 GB)",vivo,16990,4.4,"1,57,801","12,539",6 GB,128 GB,,
448,"POCO M4 Pro 5G (Cool Blue, 128 GB)",POCO,14999,4.2,"7,856",692,8 GB,128 GB,,
449,"REDMI 9i Sport (Metallic Blue, 64 GB)",REDMI,7199,4.3,"2,09,377","12,027",4 GB,64 GB,,
450,"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)",SAMSUNG,12999,4.4,"1,08,205","6,211",4 GB,128 GB,,
451,"MOTOROLA g82 5G (White Lily, 128 GB)",MOTOROLA,20499,4.1,"3,123",411,8 GB,128 GB,,
452,"APPLE iPhone 12 mini (Black, 64 GB)",APPLE,37999,4.5,"1,23,326","9,923",64 GB,Not Known,,
453,"MOTOROLA g31 (Meteorite Grey, 64 GB)",MOTOROLA,9999,4.2,"31,884","3,711",4 GB,64 GB,,
454,"POCO M4 Pro (Power Black, 128 GB)",POCO,16499,4.3,"1,30,276","11,960",6 GB,128 GB,,
455,"MOTOROLA G62 5G (Midnight Gray, 128 GB)",MOTOROLA,16999,4.1,"1,949",229,8 GB,128 GB,,
456,"realme C30 (Denim Black, 32 GB)",realme,5999,4.3,"66,939","3,492",2 GB,32 GB,,
457,"realme C30 (Lake Blue, 32 GB)",realme,5999,4.3,"66,939","3,492",2 GB,32 GB,,
458,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",SAMSUNG,12999,4.4,"1,08,205","6,211",4 GB,128 GB,,
459,"APPLE iPhone 14 (Midnight, 256 GB)",APPLE,83990,4.6,981,67,256 GB,Not Known,,
460,"POCO X4 Pro 5G (Laser Blue, 128 GB)",POCO,19999,4.2,"61,334","6,308",6 GB,128 GB,,
461,"MOTOROLA g72 (Meteorite Grey, 128 GB)",MOTOROLA,14999,4.1,"4,878",776,6 GB,128 GB,,
462,"MOTOROLA g31 (Baby Blue, 128 GB)",MOTOROLA,11999,4.1,"12,475","1,337",6 GB,128 GB,,
463,"APPLE iPhone 13 (Midnight, 128 GB)",APPLE,60999,4.7,"1,77,611","9,781",128 GB,Not Known,,
464,"SAMSUNG Galaxy S21 FE 5G (Olive, 128 GB)",SAMSUNG,35999,4.4,"29,082","3,001",8 GB,128 GB,,
465,"APPLE iPhone 12 mini (Black, 64 GB)",APPLE,37999,4.5,"1,23,326","9,923",64 GB,Not Known,,
466,"POCO M3 Pro 5G (Yellow, 128 GB)",POCO,15499,4.2,"52,420","4,434",6 GB,128 GB,,
467,"OPPO K10 (Black Carbon, 128 GB)",OPPO,13990,4.4,"95,135","7,013",6 GB,128 GB,,
468,"realme 9 (Stargaze White, 128 GB)",realme,15599,4.4,"20,705","1,568",8 GB,128 GB,,
469,"OPPO K10 (Blue Flame, 128 GB)",OPPO,13990,4.4,"95,135","7,013",6 GB,128 GB,,
470,"APPLE iPhone 14 (Starlight, 256 GB)",APPLE,83990,4.6,981,67,256 GB,Not Known,,
471,"REDMI 10 (Pacific Blue, 128 GB)",REDMI,11999,4.2,"21,630","1,610",6 GB,128 GB,,
472,"MOTOROLA g31 (Baby Blue, 64 GB)",MOTOROLA,9999,4.2,"31,884","3,711",4 GB,64 GB,,
473,"Infinix Note 12 5G (Force Black, 64 GB)",Infinix,12999,4.2,"10,906","1,285",6 GB,64 GB,,
474,"MOTOROLA Edge 30 (Aurora Green, 128 GB)",MOTOROLA,24999,4.1,"3,589",526,8 GB,128 GB,,
475,"Infinix Note 12 (Jewel Blue, 64 GB)",Infinix,9999,4.2,"22,608","2,286",4 GB,64 GB,,
476,"Infinix Note 12 (Force Black, 64 GB)",Infinix,9999,4.2,"22,608","2,286",4 GB,64 GB,,
477,"APPLE iPhone 11 (White, 64 GB)",APPLE,39999,4.6,"1,76,742","10,518",64 GB,Not Known,,
478,"realme C30 (Lake Blue, 32 GB)",realme,6999,4.1,"32,757","2,159",3 GB,32 GB,,
479,"realme C30 (Denim Black, 32 GB)",realme,6999,4.1,"32,757","2,159",3 GB,32 GB,,
480,"realme 9 5G (Supersonic Black, 64 GB)",realme,14999,4.5,"36,109","2,083",4 GB,64 GB,,
481,"OPPO F19 Pro+ 5G (Space Silver, 128 GB)",OPPO,19990,4.3,"24,287","2,518",8 GB,128 GB,,
482,"POCO M4 Pro (Power Black, 64 GB)",POCO,14999,4.3,"1,30,276","11,960",6 GB,64 GB,,
483,"Micromax IN 2C (Silver, 32 GB)",Micromax,5999,4.2,"2,047",262,3 GB,32 GB,,
484,"MOTOROLA Edge 30 (Meteor Grey, 128 GB)",MOTOROLA,24999,4.1,"3,589",526,8 GB,128 GB,,
485,"REDMI A1 (Black, 32 GB)",REDMI,6490,4.2,"1,893",141,2 GB,32 GB,,
486,"vivo T1 44W (Midnight Galaxy, 128 GB)",vivo,17999,4.3,"5,156",440,8 GB,128 GB,,
487,"MOTOROLA G51 5G (Bright Silver, 64 GB)",MOTOROLA,12999,4.1,"16,473","2,057",4 GB,64 GB,,
488,SAMSUNG Guru Music 2,SAMSUNG,2075,4.3,"1,96,562","18,346",NA ROM,Not Known,,
489,"realme C31 (Dark Green, 64 GB)",realme,8999,4.4,"56,801","2,730",4 GB,64 GB,,
490,"POCO M4 Pro (Yellow, 128 GB)",POCO,16499,4.3,"1,30,276","11,960",6 GB,128 GB,,
491,SAMSUNG Guru Music 2,SAMSUNG,2075,4.3,"1,96,562","18,346",NA ROM,Not Known,,
492,"APPLE iPhone 14 (Blue, 256 GB)",APPLE,83990,4.6,981,67,256 GB,Not Known,,
493,"REDMI 10 (Caribbean Green, 128 GB)",REDMI,11999,4.2,"21,630","1,610",6 GB,128 GB,,
494,"REDMI 10A (Charcoal Black, 64 GB)",REDMI,8690,4.2,"7,695",484,4 GB,64 GB,,
495,"Tecno Spark 8T (Atlantic Blue, 64 GB)",Tecno,10490,4.2,348,34,4 GB,64 GB,,
496,Micromax X412,Micromax,934,3.9,"14,193","1,243",32 MB,32 MB,,
497,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",SAMSUNG,11999,4.4,"1,08,205","6,211",4 GB,64 GB,,
498,"REDMI 10A (Sea Blue, 64 GB)",REDMI,8746,4.2,"5,010",325,4 GB,64 GB,,
499,"POCO M4 Pro (Yellow, 128 GB)",POCO,17999,4.3,"12,383","1,095",8 GB,128 GB,,
500,"POCO M4 5G (Yellow, 128 GB)",POCO,13999,4.2,"22,699","1,884",6 GB,128 GB,,
